Name,Website,City,County,Fat Access Info,Status,New Status Field,,Notes
Rondo Theatre,https://rondotheatre.co.uk/,Bath,Somerset,https://rondotheatre.co.uk/your-visit/,Already Existed,Information Available,,"Our seats have a central aisle, so seat numbers 5 and 6 in each row are aisle seats. Please note that seat numbers 1 and 11 are located against the wall. The seats are approximately 44cm wide, with leg room of around 25cm from the front edge of the seat to the back of the seat in front. Seats have fixed armrests, which cannot be removed. Row E gives slightly more leg room, and Row A has no seats directly in front, so has the best space for leg room (although for high selling comedy shows, we may place a row of plastic chairs in front of the front row of fixed seating)."
Bristol Old Vic Theatre,https://bristololdvic.org.uk/,Bristol,Bristol,https://bristololdvic.org.uk/your-visit/access/general-access-information,Already Existed,Information Available,,"If you are worried that a seat isn’t wide enough, you require more space or you wish to talk through the different seating options in order to know where is best for you to sit in the theatre, please contact the Box Office. With some of the seating options we might be able to hold off the adjacent seats in order to provide more room so do check with Box Office and our team will be happy to assist.
 
 The dimensions of the main seats in the Pit and Centre Dress Circle are: Width - 41cm, Length - 42 cm, Height - 48cm. These have arm rests which cannot be removed (Images A and A1 in the 'See Your Seats' section below). 
 
 The dimensions of the Dress Circle, majority seats in the Upper Circle, and all Gallery seats are: Width - 48cm, Length - 35cm, Height - 54cm. These do not have arm rests. The seats are close together, almost in a bench style but are individual seats (Image B).
 
 There are a few smaller seats in the Pit, Dress Circle and Upper Circle (these are flagged as smaller seats when booking online). Their dimensions are: Width - 38cm, Length - 35cm, Height - 40cm. These do not have arm rests and are individual seats, but are situated quite close together (Images C and C1).
 
Six seats in the Upper Circle are bench seating. This is one long bench, with the seat numbers printed on the back rest. There are no arm rests. There are three sections marked out for each cushion, but there are no individual seat markings (Image D). 
 
 When booking online, restricted leg room is marked as 'information' on any seats with very limited leg room. The front row of each level has less leg room than other rows due to a wall in front of the row. H1 and J1 in the Pit have the most leg room as there are no seats in front of them."
Leeds Playhouse,https://leedsplayhouse.org.uk/,Leeds,West Yorkshire,,Requested - Acknowledged,In Progress,,"03/04/23 - Confirmed they would look to provide but that it could take time.
19/05/23 - Confirmed in progress. 
16/06/23 - Requested update, offered ambassador services. 
24/07/23 - Requested an update."
Carriageworks Theatre,https://www.carriageworkstheatre.co.uk/,Leeds,West Yorkshire,,Requested - Acknowledged,In Progress,,"Seats on rows B, C, D, E and F in the Carriageworks Main Auditorium don’t have arm rests. Row F is the only one of these with step free access. Also, our wheelchair spaces and essential companion seats don’t have arm rests. I am unsure of the width of seats but this is something I will find out next week. We have accessible toilets on all levels of the theatre, as an alternative to the toilet stalls.
24/04/23 - not updated on website as yet, check in a couple of weeks
19/05/23 - Email received saying it is in progress. 16/06 - followed up again, offered ambassador services. 
24/07/23 - Requested update."
The Old Rep Theatre,https://www.oldreptheatre.co.uk/,Leeds,West Yorkshire,https://www.oldreptheatre.co.uk/access,Already Existed,Information Available,,"Our seats are roughly 40cm in width with hand rests either side at 8cm, and have 38cm depth of legroom. Our seats are reinforced and can comfortably hold up to 25 stone."
Cornerstone Arts Centre,https://www.cornerstone-arts.org/,Oxford,Oxfordshire,https://www.cornerstone-arts.org/visitor-access,Already Existed,Information Available,,"Seats in Cornerstone's auditorium are 45cm wide with fixed arm rests. A limited number of seats without arm rests are available, please contact our Box Office who will happily arrange reservation for you."
Norwich Theatre,https://norwichtheatre.org/,Norwich,Norfolk,https://norwichtheatre.org/your-visit/access-information/#main-content,Already Existed,Information Available,,"We have two types of seat at the Playhouse The Balcony and Main Auditorium.
The Balcony seats are roughly 440mm wide between the arms with a seat pad width of 420mm, Leg room 330mm with arms rests either side which cannot be removed.
The Main Auditorium are roughly 460mm wide between the arms with a seat pad width of 430mm, Leg room 250mm with arms rests either side which cannot be removed."
Junction 2,https://www.junction.co.uk/,Cambridge,Cambridgeshire,https://www.junction.co.uk/your-visit/accessibility/seating/,Already Existed,Information Available,,"Seating in the J2 auditorium is predominantly unreserved (unless otherwise stated). The seats are cushioned benches with no armrests. We have designated wheelchair spaces at the front of the auditorium and on the balcony (with lift access). Please do let us know in advance if you require additional space, or are a wheelchair user so we can ensure you and your companions are sat together."
The Dukes,https://dukeslancaster.org,Lancaster,Lancashire,https://dukeslancaster.org/your-visit/accessibility,Already Existed,Information Available,,"The seats in The Round comprise of two and three-seat benches, which have backs but no arm-rests. If you have concerns about seating during the performance please contact our box office on 01524 598 500."
Harrogate Theatre,https://www.harrogatetheatre.co.uk/,Harrogate,North Yorkshire,https://www.harrogatetheatre.co.uk/your-visit/accessibility/,Already Existed,Information Available,,"We have a number of comfort seats located in the Stalls. These are at the end of the rows D, J and L. Comfort seats are slightly wider than normal seats and because of their location at the end of the rows afford easier access for those that need it. They have fixed arms. The seat pads measure 53cm wide and 43cm deep. The back is slighter higher than normal too at 48cm. Access to these positions can be gained from the adapted access door at the rear of the Theatre. It is down a ramp and avoids any stairs. The seats are there to book online and are marked with an information icon. Seats at the end of Row L afford extra room as they are spaced slightly further away from the next seat than others. If you have any questions about seating, please call our friendly Box Office team and they will he"
Unity Theatre,https://www.unitytheatreliverpool.co.uk/,Liverpool,Merseyside,https://www.unitytheatreliverpool.co.uk/your-visit/access/,Already Existed,Information Available,,"At Unity we have folding seats. They are 48cm wide and 44.5cm deep, with 6cm between seats and 50cm of legroom. Seats don’t have armrests. If these seats are not suitable or you have any questions about accessibility our Box Office team are always happy to help where we can and can be contacted at the email address or phone number below."
Leadmill,https://leadmill.co.uk/,Sheffield,South Yorkshire,https://leadmill.co.uk/accessibility/,Already Existed,Information Available,,"Our seats are roughly 41cm in width, there are no arm rests"
Leeds First Direct Arena,https://www.firstdirectarena.com/,Leeds,West Yorkshire,https://www.firstdirectarena.com/your-visit/accessibility,Campaign Win,Information Available - Win,,"Please see below the width of our seats in various locations: 
1. Seat floor blocks A-P, seat width 42cm with no armrest
2. Seated Blocks 101-333, seat width 46cm, armrests that don’t move 
3. Seats on the accessible platform, seat width 44cm with no armrest"
Northern Stage,https://northernstage.co.uk/,Newcastle,Tyne and Wear,https://northernstage.co.uk/your-visit/access/,Already Existed,,,"Stage 1 Seats are 43 cm wide, 41cm deep, with 46cm between arm rests. The aisleway is 51cm deep from the seat back. Arm rests cannot be removed.
 
Stage 2 Seats are 40cm wide, 41cm deep. The aisleway is 64cm deep from the seat back. There are no arm rests.
 
Stage 3 Seats are 41cm wide, 43cm deep. There are no arm rests. The seats are not fixed so can be rearranged to allow for more space. There are three heights of seat to allow for clear sightlines. The distance from the seats to the floor is 45cm, 60cm and 73cm respectively."
Selby Town Hall,https://www.selbytownhall.co.uk/,Selby,North Yorkshire,https://www.selbytownhall.co.uk/about-the-venue/your-visit/,Already Existed,Information Available,,"Our chairs are upholstered with shallow cushioning. The seat is 44cm wide with a 46cm backrest. In the central tiered section, seats are 7cm apart with 40cm of leg room. The maximum loading of the chairs is 134kg / 21 stone.
 
If these are not suitable, there are chairs located to the left and right (on flat floor) where it is possible to increase both leg room and the gap between seats. If you have particular requirements relating to the space around chairs we would be happy to reserve one which meets your needs, or discuss options for using a different style of chair. Please call 01757 708449 or email"
Lemon Tree,https://www.aberdeenperformingarts.com/lemon-tree/,Aberdeen,Aberdeenshire,https://www.aberdeenperformingarts.com/access/lemon-tree-access-information/,Already Existed,Information Available,,"The seats at the Lemon Tree have no armrest and offer customers around 30-40cms legroom. The spec of the seats state they can hold around 250lbs and are approximately 45cms wide by 30cms high. They are laid out in theatre style rows with a central aisle next to the bar all the way through to the back of the venue. The Lemon Tree Lounge has three tiers, each accessible with a short set of stairs or a ramp."
Church,https://www.musicglue.com/churchdundee,Dundee,Angus,https://www.musicglue.com/churchdundee/contact-slash-faq,Already Existed,Information Available,,Tested for: 100 kg Width: 41 cm Depth: 45 cm Height: 78 cm Seat width: 37 cm Seat depth: 34 cm Seat height: 45 cm
Oran Mor,https://oran-mor.co.uk/,Glasgow,Lanarkshire,https://oran-mor.co.uk/visiting-accessibility/,Already Existed,Information Available,,We have gold seats with blue cushion pads. They are 40cm wide and 42cm deep and set between 2-5cm apart in theatre style rows. If the seats aren’t suitable please contact us in advance on 0141 357 6210 and we can assist to find a suitable solution for you.
The Royal Spa Centre,https://www.warwickdc.gov.uk/royalspacentre/site/index.php,Warwick,Warwickshire,https://www.warwickdc.gov.uk/royalspacentre/info/57/access,Already Existed,Information Available,,"Seats in the Studio Cinema are 440mm wide, with 380mm of legroom. Arm rests cannot be removed. There is no space between the seats. 
 
If these seats are inappropriate for you, please email boxoffice@warwickdc.gov.uk. There is the possibility of positioning 4 loose chairs in the space, but the use of these alternative chairs is dependent on the number of wheelchair spaces being used. Alternative seats: 400mm wide, no arm rests, legroom is flexible."
Barbican Centre,https://www.yorkbarbican.co.uk/,York,North Yorkshire,https://www.yorkbarbican.co.uk/venue-info/accessibility/,Campaign Win,Information Available - Win,,"Our standard auditorium seating has a measurement of between 450mm - 480mm between armrest, which are fixed in place. The widest seats are found in the stalls N1-14 & 40-52 and balcony E1-13 & 38-50"
Alhambra Theatre,https://www.bradford-theatres.co.uk/,Bradford,West Yorkshire,,Requested - Acknowledged,In Progress,,"24/04/23 - Requested 
12/06/23 - email received confirming receipt, have offered measuring service.
24/07/23 - Waiting to agree a time/date to go help measure. 
03/08/23 - Working on providing as part of website refresh in September."
York Theatre Royal,https://www.yorktheatreroyal.co.uk/,York,North Yorkshire,,Requested - Acknowledged,In Progress,,"24/04/23 - Requested
17/04/23 & 10/05/23 Chased 
19/05/23 - confirmed they are working on this and will be back to us in a week.
05/06/23 & 24/07/23 - Requested an update."
Hull New Theatre,https://www.hulltheatres.co.uk/,Hull,East Riding of Yorkshire,,Requested - Acknowledged,Didn't Respond,,"20/04/23 - Requested, confirmed in progress.
24/04/23, 10/05/23, 24/05/23, 05/06/23, 24/07/23 - Chased"
Hull City Hall,https://www.hulltheatres.co.uk/,Hull,East Riding of Yorkshire,,Requested - Acknowledged,Didn't Respond,,"20/04/23 - Requested, confirmed in progress.
24/04/23, 10/05/23, 24/05/23, 05/06/23, 24/07/23 - Chased"
Stephen Joseph Theatre,https://sjt.uk.com/,Scarborough,North Yorkshire,,Campaign Win,Information Available - Win,,"The Round: Seat widths range from 42-44cm. All seats except the back row have armrests which cannot be moved. The backrow doesn't have any armrests - the seats are raised with a cushioned barrier you can lean forwards onto. The Round is auditorium with blue seats in the pictures.

The McCarthy: Seat widths are 45cm and all seats have armrests which cannot be moved. The McCarthy is the auditorium with red seats in the pictures.

Aisles and staircases are marked on our seating plans. If you have any questions please email our Box Office team who can advise on specific seats."
Victoria Theatre,https://www.victoriatheatre.co.uk/,Halifax,West Yorkshire,,Campaign Win,Information Available - Win,,"All seats have fixed arm rests and legroom is measured from the back of the seat to the middle of the back of the seat in front. All measurements are in millimetres. 

The Stalls:
Seat Width: 430mm Leg Room: 750mm
The Circle:
Seat Width: 470mm Leg Room: Front Row - from 580 to 700mm, Other Rows - from 570 - 660mm
The Balcony:
Seat Width: 420mm Leg Room: Front Row - 760mm, Other Rows - 660mm"
Arts at the Old Fire Station,https://oldfirestation.org.uk/,Oxford,Oxfordshire,https://oldfirestation.org.uk/visit/access-facilities/,Already Existed,Information Available,,"Our chairs are a standard dining-chair size, measuring 40cm deep by 37cm wide, with a metal frame. Some have arms, and some do not. They are all joined together at the sides, to form rows. If this is likely to pose a problem for you, please email tickets@oldfirestation.org.uk and we can discuss how to make your visit more comfortable."
Contact - Manchester,https://contactmcr.com/,Manchester,Lancashire,https://contactmcr.com/about-us/accessibility/,Already Existed,Information Available,,"Our central seating bank chairs are 50.5cm wide with immovable armrests that are shared with the seats on either side. There is 28cm depth of legroom.
Our boxes, which line either side of the auditorium, are 208cm wide, have no armrests, and have 44cm depth of legroom. These are sold as seats for 3 people, which allows 69cm width for each person.
If the seats aren’t appropriate for you, please contact us at the details below and we can explore options available to ensure that you are able to see the show. Please see images of our seating on our Your Visit page."
Komedia Brighton,https://www.komedia.co.uk/brighton/,Brighton,Sussex,https://www.komedia.co.uk/wp-content/uploads/2015/06/2023-Accessibility-Document-..pdf?utm_source=ep&utm_medium=body&utm_campaign=linktrack&utm_content=wysiwyg&,Already Existed,Information Available,,"STANDARD SEATING
To the left here are our standard seats for our seated
shows. Our seats are 84cm tall, chair legs are 46cm high,
42cm wide, 50cm deep, and weigh 6.10kg.
BOOTH SEATING
We also have limited booth seating available. If you do
require booth seating, please contact us at
tickets@komedia.co.uk"
Corn Exchange - Newbury,https://cornexchangenew.com/,Newbury,Berkshire,https://cornexchangenew.com/access,Already Existed,Information Available,,"Stalls – seats are 42cm wide by 43cm deep with 33cm legroom. There are arm-rests which can fold up, apart from in rows BB, CC and DD.
Balcony – seats are 42 by 46cm with 25cm legroom and arm rests cannot be folded up."
Merlin Theatre,http://www.merlintheatre.co.uk/,Frome,Somerset,http://www.merlintheatre.co.uk/your-visit/,Already Existed,Information Available,,"Our seats are 17"" in width. Please email our box office merlintheatreoffice@gmail.com to discuss any accessibility requirements."
Stockton Arts Centre,https://arconline.co.uk/,Stockton,County Durham,https://arconline.co.uk/visit-arc/access-and-our-building//,Already Existed,Information Available,,"In our Theatre the seats are 38cm (15″) wide and 44.5cm (17½”) deep. The seats are 44cm (171/3”) from the floor, and have an 8cm (3”) gap between seats.

Armrests: Seats have armrests on either side of the seat which cannot be removed completely. Seats on rows A, C and D have armrests which can be folded away and slot between the seat backs. On all other rows armrests are fixed and cannot be folded or removed."
Chorley Theatre,https://chorleytheatre.com/,Chorley,Lancashire,https://chorleytheatre.com/venue-information/,Already Existed,Information Available,,"Each seat is 50cm wide, 47cm deep, with 30cm legroom (better legroom on Rows A and G, and ends of B-F). Seats have small immovable armrests
Seats with no sides are available down each side of the auditorium (B99, C99, D99, E99, C19, E19)"
Royal Albert Hall,https://www.royalalberthall.com/,London,London,,Won't Provide,Information Available - Win,,"Loggia, Grand Tier and front row Second Tier – 42cm
Second Tier seats 3 & 4 – 41.5cm
Second Tier seat 5 – 42cm
Rausing Circle Accessible Seating – 42.5cm (only bookable over the phone)
Rausing Circle – 43.5cm
WWith all our box seating armless options are available, however height wise aren't always suitable.  The stalls seating is armless. All seats technically have seats next to them – even ones on the aisle.  The only areas that one could consider individual seats are the seats on the accessible platforms."
Bingley Arts Centre,https://www.bingleyartscentre.co.uk/,Bingley,West Yorkshire,,Requested - Acknowledged,Requested,,"19/04/23 - Requested
10/05 - Chased
02/08/23 - Chased via IG DM"
Keighley Playhouse,http://www.keighleyplayhouse.co.uk/,Keighley,West Yorkshire,,Requested - Chased,Requested,,"19/04/23 - Requested
10/05/23 - Chased
02/08/23 - Final chase."
Hyde Park Picture House,https://www.hydeparkpicturehouse.co.uk/,Leeds,West Yorkshire,https://hpph.co.uk/access#seating,CAmpaign Win,Information Available - Win,,https://hpph.co.uk/access#seating
EartH ,https://earthackney.co.uk/,London,London,,Requested - Chased,In Progress,,"19/04/23 - Requested
10/05/23 - Chased 
02/08/23 - Chased via direct email contact. Confirmed they've passed to access teams."
Pheonix,https://exeterphoenix.org.uk/,Exeter,Devon,https://exeterphoenix.org.uk/about-us/access/,Already Existed,Information Available,,"In the main auditorium and Studio 74 we have raked seating which has steps on either side. The seats have arms.

Auditorium Seat Dimensions;
Seat: 15” Wide, 16” Long (Depth)
Back: 17” Wide, 19” Long (Height)
Studio 74 Seat Dimensions;
Seat: 17.5"" Wide, 18.5"" Long (Depth)
Back: 19"" Wide, 22"" Long (Height)
"
Shoreditch Town Hall,https://shoreditchtownhall.com/,London,London,,Campaign Win,Information Available - Win,,"Assembly Hall stalls & Council Chamber seating:
17.2 inches wide, 17.5 inches deep, with removable armrests.

Assembly Hall Balcony seating:
16 inches wide, 17 inches deep, no arm rests.

All other spaces use folding chairs with no arm rests. Some of our shows may have bespoke seating such as benches - these will always be specified on the show page. If you have any questions, or if we can reserve a specific seat for you, you can give us a call on 020 7739 6176 or email info@shoreditchtownhall.com"
Gordon Craig Theatre,https://www.gordon-craig.co.uk/,Stevenage,Hertfordshire,,Requested - Chased,Didn't Respond,,"Requested 20/04/23
13/06/23 & 18/07/23 - Chased"
Cambridge Arts Theatre,https://www.cambridgeartstheatre.com/,Cambridge,Cambridgeshire,,Provided - Not on Website,Information Available - Win,,"Our standard seats are 43cm wide.
Our seats arms rests do not move.
We would recommend anyone who has access requirements to book tickets directly with the box office so that we can make induvial recommendations."
Cambridge Corn Exchange,https://www.cambridgelive.org.uk/cornex,Cambridge,Cambridgeshire,,Campaign Win,Information Available - Win,,"Seat dimensions:
Flat floor - 43cm(w) x 40cm(d)
Tiered – 41cm(w) x 43cm(d)
Mez – 43cm(w) x 40cm(d)
Balcony – 38cm(w) x 40cm(d)
The availability of the accessible seats is subject to the event."
Queen Mother Theatre - Hitchin,https://qmt.org.uk/,Hitchin,Hertfordshire,,Requested - Chased,Didn't Respond,,"20/04/23 - Requested
05/05/23, 13/06/23, 18/07/23 - Chased"
Sheffield Arena,https://www.utilitaarenasheffield.co.uk/,Sheffield,South Yorkshire,,CAmpaign Win,Information Available - Win,,Floor Seating - 400mm wide x 450mm deep.
Pocklington Arts Centre,https://www.pocklingtonartscentre.co.uk/,Pocklington,North Yorkshire,,Provided - Not on Website,Information Available - Win,,"We currently conform to the minimum standards for seat widths/depth and all our fixed seats have fixed armrests.

Our accessible seating is offered as a priority for wheelchair users, but will go on general release after we have reached 85% capacity in sales. The 6 loose seats in this area have no arms and are not fixed to the floor. For reference, we haven't actually ever had a specific enquiry from a fat guest requesting their needs to be met."
Bonus Arena Hull,https://www.bonusarenahull.com/,Hull,East Riding of Yorkshire,,Campaign Win,Information Available - Win,,"Our standard floor seats have a width of 430mm
Our seats do not have arm rest."
Bridlington Spa,https://www.bridspa.com/,Bridlington,North Yorkshire,,Requested - Acknowledged,Didn't Respond,,"20/04/23 - Requested
05/05/23, 13/06/23, 18/07/23 - Chased"
Hull Truck,https://www.hulltruck.co.uk/,Hull,East Yorkshire,https://www.hulltruck.co.uk/access/access-in-the-theatre/,Already Existed,Information Available,,"All standard seats, rows A - L, in Stage 1 are between 16-18"" wide and 18"" deep.

The bar stool height seats, on row M in Stage 1, are 18"" wide and 16"" deep. They are fully cushioned seats, have a back and arm rests and a step up.

Seats on row A of Godber Studio do not have arm rests and are 16"" wide by 16"" deep. Seats on rows B - L of the Godber Studio are 17"" wide by 17"" deep.

There is roughly 12"" of legroom from edge of seat to the back of the seat in front.
"
East Riding Theatre,https://www.eastridingtheatre.co.uk/,Hull,East Yorkshire,,Requested - Chased,Didn't Respond,,"24/04/23 - Requested
05/05/23, 05/06/23, 28/06/23 - Chased"
Stage@Leeds,https://stage.leeds.ac.uk/,Leeds,West Yorkshire,,Requested - Chased,Didn't Respond,,"24/04/23 - Requested
05/05/23, 05/06/23, 28/06/23 - Chased"
Nothern Ballet,https://northernballet.com/,Leeds,West Yorkshire,,Requested - Acknowledged,In Progress,,"19/04/23 - Requested  Confirmed they would add to the website 
24/05/23 - Chased
24/07/23 - Requested an update."
Seven Arts,http://www.sevenleeds.co.uk/,Leeds,West Yorkshire,,Requested - Chased,Didn't Respond,,"19/04/23 - Requested
05/05/23, 18/07/23 - Chased"
Guiseley Theatre,https://www.guiseleytheatre.org/,Leeds,West Yorkshire,,Provided - Not on Website,Information Available - Win,,"The width of seats in each area:
Theatre stalls: 42cm - no arms
Theatre balcony: 46cm - no arms
Bookable meeting rooms - 43cm - no arms, or 41cm with arms

Which seats have no seats next to them:
This varies for each show as the seating plan is based on the show requirements. When booking, a seating plan is provided so that visitors can choose the most suitable seat. Visitor seating for meeting rooms is flexible, they can be moved to suit.
"
Torch Theatre,https://www.torchtheatre.co.uk/,Milford Haven,Pembrokeshire,,Requested - Chased,Requested,,"19/04/23 - Requested. 
18/07/23 - Chased"
St Davids Hall,https://www.stdavidshallcardiff.co.uk/,Cardiff,South Glamorgan,,Requested - Chased,Requested,,"19/04/23 - Requested. 
18/07/23 - Chased"
Wales Millenium Centre,https://www.wmc.org.uk/en,Cardiff,South Glamorgan,,Requested - Chased,Requested,,"19/04/23 - Requested. 
24/07/23 - Chased"
New Cardiff Theatre,https://newtheatrecardiff.co.uk/,Cardiff,South Glamorgan,,Requested - Acknowledged,In Progress,,"20/04/23 - Requested and acknowleged.
18/07/23 - Chased up, said unable to provide as transitioning to new owners, but review again in October 23."
Theatrau Sir Gar,https://www.theatrausirgar.co.uk/en,Llanelli,Carmathenshire,,Requested - Chased,Requested,,"19/04/23 - Requested. 
24/07/23 - Chased"
Swansea Grand,https://www.swanseagrand.co.uk/,Swansea,Glamorgan,,Requested - Chased,Requested,,"19/04/23 - Requested. 
18/07/23 - Chased"
The Fire Station,https://sunderlandculture.org.uk/,Sunderland,Tyne and Wear,,Requested - Chased,Didn't Respond,,"19/04/23 - Requested. 
16/06/23 & 18/07/23 - Chased"
Wembley Park Theatre,https://www.troubadourtheatres.com/wembley-park-theatre,London,London,,Requested - Acknowledged,Unable to Provide,,"27/07/23 There's a pause on this currently, as we await confirmation of our next longer running production.
It's very likely that the seating configuration might change again, so at this time we are unable to provide accurate information."
Trafalgar Theatre,https://trafalgartheatre.com/,London,London,,Requested - Chased,Didn't Respond,,"19/04/23 - Requested. 
16/06/23 & 18/07/23 - Chased"
Delfont Mackintosh,https://www.delfontmackintosh.co.uk/,London,London,,Requested - Acknowledged,In Progress,,"20/04/23 - Requested
05/05/23 & 21/05/23 Chased - Email confirmed they are working on it for all 8 of their theatres!
24/07/23  - Requested an update."
London Coliseum,https://londoncoliseum.org/,London,London,,Provided - Not on Website,Information Available - Win,,"The Stalls seats are between 42cm and 45cm wide, it varies a little across the level, and all have fixed armrests. In row Q, the access from the aisle on the House Left side (by Q10) is a little tight at 32cm wide.

In the Dress Circle and Upper Circle, the seats are approximately 40-42cm wide, and have fixed armrests.
 
The Listed, original seats in the Balcony are approximately 45-50cm wide. These all have fixed armrests, except the very back row, row K, where the aisle seats do not have an armrest on the aisle side and are a bit wider.

In the Boxes, the seats are unfixed, stand-alone chairs, usually around 40-42cm wide with armrests, though we do have chairs without armrests that we can swap in if requested, and we do this regularly for our guests."
Eventim Apollo,https://www.eventimapollo.com/,London,London,,Provided - Not on Website,Information Available - Win,,"All our arms are fixed. Stalls wise some seats are 500mm some are 480mm. This is to create the curve layout that ends evenly on the rows.  Circles has: 400mm, 425mm and 500mm seat bases. Best advice aisle seats or Row N in stalls for the extra room as there is aisle in front."
Dominium Theatre,https://www.nederlander.co.uk/dominion-theatre,London,London,https://docs.google.com/spreadsheets/d/1ArVuvYTcNxME9LLx6MNtp1A0X53rWHKY/edit?usp=drive_link&ouid=115664861143850917608&rtpof=true&sd=true,Provided - Not on Website,Information Available - Win,,"Floor Plan Provided:
https://docs.google.com/spreadsheets/d/1ArVuvYTcNxME9LLx6MNtp1A0X53rWHKY/edit?usp=drive_link&ouid=115664861143850917608&rtpof=true&sd=true"
Apollo Theatre,https://nimaxtheatres.com/theatres/apollo-theatre/,London,London,,Requested - Acknowledged,In Progress,,"20/04/23 - Requested
24/04/23 - Confirmationin progress of updating their info, say a couple of weeks. 
18/07/23 - Requested an update"
Royal Drury Lane,https://lwtheatres.co.uk/theatres/theatre-royal-drury-lane/,London,London,,Requested - Acknowledged,In Progress,,"20/04/23 - Requested
05/05/23 & 13/0623, 18/07/23 - chased. 
23/07/23 Acknowledged, working on providing next week,"
Adelphi Theatre,https://lwtheatres.co.uk/theatres/adelphi/,London,London,,Provided - Not on Website,Information Available - Win,,"Currently we have a number of seats which are 600mm wide, the majority of our seats being 500mm wide. I have arranged a meeting with our seating company to see if there is anything we can do to add any additional width on some seats and will be able to update you again once this meeting has happened."
Gillian Lynne Theatre,https://lwtheatres.co.uk/theatres/gillian-lynne/,London,London,,Requested - Acknowledged,In Progress,,"20/04/23 - Requested
05/05/23 & 13/0623, 18/07/23 - chased. 
23/07/23 Acknowledged, working on providing next week,"
Cambridge Theatre,https://lwtheatres.co.uk/theatres/cambridge/,Cambridge,Cambridgeshire,,Requested - Acknowledged,In Progress,,"20/04/23 - Requested
05/05/23 & 13/0623, 18/07/23 - chased. 
23/07/23 Acknowledged, working on providing next week,"
His Majesty's Theatre,https://lwtheatres.co.uk/theatres/his-majestys/,London,London,,Requested - Acknowledged,In Progress,,"20/04/23 - Requested
05/05/23 & 13/0623, 18/07/23 - chased. 
23/07/23 Acknowledged, working on providing next week,"
